G,R,X,Y,GR,UID,X_count,Y_count,Y_count_resolve
M,B,0.298285580226058,-0.12796829288105735,MB,1,-0.720733913821862,-0.7463796353408386,0.08458444844867685
M,W,0.3343080514794799,0.3619829938958289,MW,2,-0.6847114425684402,-0.7956953013420527,0.03526878244746279
M,W,0.4079777142960653,0.35310475971940103,MW,3,-0.6110417797518548,-0.7356210395413382,0.0953430442481773
F,W,-0.08111816938219563,-0.14203302098164844,FW,4,-0.08111816938219563,-0.17679052134352005,-0.17679052134352005
F,W,-0.2425820128658865,-0.3195294349518125,FW,5,-0.2425820128658865,-0.30845694730420875,-0.30845694730420875
F,W,-0.5789015261542669,-0.6519576511355685,FW,6,-0.5789015261542669,-0.5827102249427546,-0.5827102249427546
M,W,0.2380202602741579,0.244105452057552,MW,7,-0.7809992337737621,-0.8742136188682568,-0.043249535078741436
M,B,0.8677815611545489,0.7533265235739193,MB,8,-0.15123793289337117,-0.2819815460224405,0.5489825377670748
M,W,-0.21054929296325675,-0.2973202415318145,MW,9,-1.2295687870111767,-1.2400017024122916,-0.4090376186227761
M,B,-0.05122576305737305,-0.10094765839298796,MB,10,-1.0702452571052932,-1.0313902507824126,-0.2004261669928972
M,B,1.2532244116321496,1.1355828952372933,MB,11,0.23420491758422957,0.032329580478223735,0.8632936642677392
M,W,0.18710387785172616,0.09836943401833527,MW,12,-0.8319156161961938,-0.9157336146256128,-0.08476953083609731
M,W,0.6083354149461728,0.554715351374948,MW,13,-0.4106840791017472,-0.5722384407555867,0.25872564303392864
M,W,0.24374001805983586,0.1215723037332266,MW,14,-0.7752794759880841,-0.869549416352372,-0.03858533256285676
M,W,-0.9523119879673616,-0.7368841092594887,MW,15,-1.9713314820152816,-1.8448754676774164,-1.0139113838879008
M,W,0.3263159361914065,0.2961252664093788,MW,16,-0.6927035578565135,-0.8022125081243419,0.0287515756651735
F,B,-0.2997350281460591,-0.5848823122454446,FB,17,-0.2997350281460591,-0.2444202927400543,-0.2444202927400543
M,W,-0.5946364883596854,-0.5798719205771372,MW,18,-1.6136559824076055,-1.55320735380768,-0.7222432700181645
F,W,-1.7445520054754886,-1.2972033792845812,FW,19,-1.7445520054754886,-1.5332452129637186,-1.5332452129637186
F,B,-1.7548658796729328,-1.7749736469904542,FB,20,-1.7548658796729328,-1.4310133676474361,-1.4310133676474361
M,B,0.03387544906229848,-0.021494861297647813,MB,21,-0.9851440449856216,-0.9619940800796424,-0.1310299962901269
F,W,-0.7234525961796591,-0.8129680258892231,FW,22,-0.7234525961796591,-0.7005850528199881,-0.7005850528199881
M,W,0.5037580316974171,0.2499774480342549,MW,23,-0.515261462350503,-0.6575165438380003,0.17344753995151513
M,W,-0.37053516784123947,-0.4292293268705072,MW,24,-1.3895546618891594,-1.3704629121474954,-0.5394988283579799
M,W,0.4114798144502477,0.2071084994699695,MW,25,-0.6075396795976723,-0.7327652360332038,0.09819884775631166
M,W,1.0621842006842814,0.979561349960552,MW,26,0.043164706636361405,-0.20214538304405627,0.6288187007454591
F,W,-0.07667318111398991,-0.2842625453992024,FW,27,-0.07667318111398991,-0.17316583543189704,-0.17316583543189704
F,W,0.057809943320778164,-0.045218300079475464,FW,28,0.057809943320778164,-0.06350095960388535,-0.06350095960388535
M,W,-0.4072037568342669,-0.4181032883462139,MW,29,-1.4262232508821868,-1.4003644799137862,-0.5694003961242708
M,B,0.03260546243174568,-0.1396649957224645,MB,30,-0.9864140316161744,-0.9630296964569995,-0.13206561266748407
F,W,-2.1196111388838723,-1.8281785920471167,FW,31,-2.1196111388838723,-1.8390888901259252,-1.8390888901259252
F,B,-2.3726767358597978,-2.3720347823994885,FB,32,-2.3726767358597978,-1.9348100418672842,-1.9348100418672842
M,W,-1.0129808805208105,-0.7777643902104324,MW,33,-2.0320003745687307,-1.8943481922029695,-1.0633841084134539
F,W,-0.3055527334733651,-0.33395840848587216,FW,34,-0.3055527334733651,-0.3598067079916116,-0.3598067079916116
F,B,-0.6344120573682879,-0.7095923551869585,FB,35,-0.6344120573682879,-0.5173341992722175,-0.5173341992722175
M,W,-0.06557873341130127,-0.059888513639216774,MW,36,-1.0845982274592214,-1.1217847998916033,-0.2908207161020878
F,W,-2.1983010857131635,-2.1620496926012978,FW,37,-2.1983010857131635,-1.9032569653711793,-1.9032569653711793
M,W,0.10715993733137996,-0.09521078612876807,MW,38,-0.9118595567165401,-0.9809242647329295,-0.14996018094341415
M,W,-0.2978807810342785,-0.17611525563945646,MW,39,-1.3169002750821985,-1.3112165617891614,-0.4802524779996459
F,W,0.21683257774483566,-0.19551200592603094,FW,40,0.21683257774483566,0.06617477131963705,0.06617477131963705
M,B,-0.4664869637315334,-0.4595710372040269,MB,41,-1.4855064577794534,-1.3700168866486258,-0.5390528028591104
M,W,0.26702731592536666,0.23375196193902045,MW,42,-0.7519921781225534,-0.8505596833317648,-0.01959559954224946
F,W,0.8711645934823311,0.8263117610142756,FW,43,0.8711645934823311,0.5997527912960494,0.5997527912960494
F,W,-3.390903350102753,-2.9044741937198784,FW,44,-3.390903350102753,-2.8757699091787035,-2.8757699091787035
M,W,0.22165356299430314,0.029872707376183225,MW,45,-0.7973659310536169,-0.8875599166469088,-0.05659583285739345
M,B,0.1972701675637544,0.09343692471278356,MB,46,-0.8217493264841657,-0.8287531132986642,0.002210970490851255
M,W,-0.3727005829502295,-0.3319954515422453,MW,47,-1.3917200769981495,-1.3722287097525225,-0.5412646259630072
M,W,1.4948210963290411,1.1778340863385417,MW,48,0.4758016022811211,0.15065034235948738,0.9816144261490027
M,W,-0.6640610374982552,-0.5212256903786274,MW,49,-1.6830805315461752,-1.609819918340934,-0.7788558345514187
M,W,0.17742769066527486,0.1050944880455717,MW,50,-0.8415918033826452,-0.9236241055013321,-0.09266002171181675
M,W,1.347001651887677,1.073004811482734,MW,51,0.32798215783975704,0.030110303690985718,0.8610743874805011
M,B,0.19664385514199936,-0.015192285983557654,MB,52,-0.8223756389059207,-0.8292638426132156,0.0017002411762997993
F,B,-1.6744359350204665,-1.597273618426344,FB,53,-1.6744359350204665,-1.3654264032588677,-1.3654264032588677
F,W,-1.8554069835186544,-1.6938563702459886,FW,54,-1.8554069835186544,-1.6236424092893997,-1.6236424092893997
M,W,1.0170976160262042,0.9645518655979356,MW,55,-0.0019218780217158393,-0.23891144368414421,0.5920526401053712
F,B,-0.979780287198032,-1.1232188676911576,FB,56,-0.979780287198032,-0.7989662939934439,-0.7989662939934439
M,W,0.013324461312416642,0.01886652624712633,MW,57,-1.0056950327355034,-1.0574428306803874,-0.226478746890872
F,W,-2.0036790921861414,-1.8285237445932083,FW,58,-2.0036790921861414,-1.744551575061084,-1.744551575061084
F,B,-1.6724065550683784,-1.8204396471502475,FB,59,-1.6724065550683784,-1.3637715361416067,-1.3637715361416067
F,W,-2.210870745309723,-2.02881160295447,FW,60,-2.210870745309723,-1.9135069514913763,-1.9135069514913763
M,B,-0.7548308031120771,-0.6237570728427987,MB,61,-1.773850297159997,-1.6051481826706595,-0.7741840988811443
F,B,-0.8577100562619341,-0.9429329691844054,FB,62,-0.8577100562619341,-0.6994235686576918,-0.6994235686576918
M,W,-0.5688246046319775,-0.3434183000965233,MW,63,-1.5878440986798976,-1.53215893575684,-0.7011948519673243
F,W,-1.4036145294770943,-1.2917951996331674,FW,64,-1.4036145294770943,-1.2552261966178027,-1.2552261966178027
M,B,1.213168055727602,0.9154376371923576,MB,65,0.19414856167968186,-0.0003345572331633073,0.830629526556352
M,B,-0.2775527652553489,-0.2944320204854328,MB,66,-1.296572259303269,-1.215949634696833,-0.3849855509073177
M,B,-1.0557320097782044,-0.8669171020789329,MB,67,-2.0747515038261244,-1.850519440991965,-1.0195553572024496
M,W,0.1213219986794711,-0.0763177714859883,MW,68,-0.8976974953684489,-0.9693757473577223,-0.13841166356820675
M,W,-0.3690177041282505,-0.22194752881205895,MW,69,-1.3880371981761706,-1.3692254894570435,-0.5382614056675281
M,W,0.036642539966318326,-0.10444485310418987,MW,70,-0.9823769540816017,-1.0384279973258255,-0.20746391353631002
M,W,0.033951805115799816,-0.07800052383174504,MW,71,-0.9850676889321202,-1.0406221693047144,-0.20965808551519904
M,B,-0.06083206277240904,-0.2265330304544633,MB,72,-1.079851556820329,-1.0392237516015215,-0.20825966781200614
M,W,0.8277405694820021,0.5891931798626,MW,73,-0.19127892456591788,-0.3933235090173046,0.4376405747722108
F,W,0.4665605617868247,0.26466905450468603,FW,74,0.4665605617868247,0.26981659237227296,0.26981659237227296
F,B,-1.0008967037390273,-1.2122549054929546,FB,75,-1.0008967037390273,-0.8161857719586817,-0.8161857719586817
F,W,0.2991776039371574,0.10633958973495214,FW,76,0.2991776039371574,0.13332339766506057,0.13332339766506057
F,B,-1.0433842681354402,-1.3534793550023,FB,77,-1.0433842681354402,-0.8508324496987377,-0.8508324496987377
M,W,-0.44544578445832456,-0.22595877486584676,MW,78,-1.4644652785062446,-1.4315491153721773,-0.6005850315826617
M,B,0.5129257150703125,0.20063410780622934,MB,79,-0.5060937789776075,-0.5713503605947692,0.2596137231947462
M,W,0.11755460011695305,0.21806041094715176,MW,80,-0.901464893930967,-0.9724478896602575,-0.14148380587074205
F,W,-1.0644517092243762,-0.9538932189729588,FW,81,-1.0644517092243762,-0.9786543313758267,-0.9786543313758267
M,B,-0.4707772135414683,-0.4104345601679783,MB,82,-1.4897967075893883,-1.3735153903802657,-0.5425513065907505
M,W,1.678647402341367,1.5434030169441908,MW,83,0.6596279082934469,0.300552340156558,1.1315164239460733
M,W,-0.4716371635001877,-0.3822496081918375,MW,84,-1.4906566575481077,-1.452906994603958,-0.6219429108144425
M,B,0.4632528674110433,0.3857511650117829,MB,85,-0.5557666266368767,-0.6118563102704088,0.21910777351910662
F,W,-1.8271752165076676,-1.6397399271080968,FW,86,-1.8271752165076676,-1.600620686402771,-1.600620686402771
M,W,0.0439948946336839,0.03279896555695641,MW,87,-0.9750245994142361,-1.032432486253124,-0.2014684024636085
M,W,1.2635127835817963,1.0662912673692846,MW,88,0.24449328953387628,-0.037971073911352154,0.7929930098781632
M,W,0.3192728088583429,0.2824250595071978,MW,89,-0.6997466851895771,-0.8079558583600508,0.023008225429464624
F,B,0.7377670386766093,0.51834209682177,FB,90,0.7377670386766093,0.6016154891293799,0.6016154891293799
F,B,-0.9803155123994152,-0.8816384161047441,FB,91,-0.9803155123994152,-0.7994027458196221,-0.7994027458196221
M,W,-0.05278128852497056,-0.009273227724301406,MW,92,-1.0718007825728906,-1.111349065220254,-0.2803849814307386
M,B,0.9019466436275358,0.8132184001093173,MB,93,-0.11707285042038418,-0.254121474040909,0.5768426097486063
F,B,0.07020038756102731,0.007503523613545045,FB,94,0.07020038756102731,0.05724522550554343,0.05724522550554343
M,W,-0.3458054153077174,-0.4011496141161233,MW,95,-1.3648249093556375,-1.3502969229035318,-0.5193328391140163
M,B,-1.1596887321062528,-1.0299830992343326,MB,96,-2.178708226154173,-1.9352914233020755,-1.10432733951256
M,W,0.5373180135259379,0.31400432535534833,MW,97,-0.48170148052198214,-0.6301499039306991,0.20081417985881628
M,W,0.6561094625055495,0.43336614902435816,MW,98,-0.36291003154237056,-0.5332808762624905,0.2976832075270249
F,B,-1.3858370840870742,-1.6044057243442675,FB,99,-1.3858370840870742,-1.1300871569055533,-1.1300871569055533
M,B,0.4036879069288008,0.18212119329732213,MB,100,-0.6153315871191192,-0.6604288283647072,0.17053525542480827
