a,r,s,x,y
wf,w,f,0.5299907323033853,0.45284643224304166
wm,w,m,0.2894009063837757,0.7343886638518857
bf,b,f,0.0,0.06212738180994649
af,a,f,0.6870237300897599,0.6635747822357362
wf,w,f,0.4100855254484419,0.6215832160354683
wf,w,f,0.3805593973943616,0.7579226925641102
am,a,m,0.5897128097324056,0.7380179770647427
bm,b,m,0.21767779806462914,0.362213758520313
wm,w,m,0.8877316626300453,0.9131096975003541
wf,w,f,0.18582694280781453,0.5369320748203479
af,a,f,0.7562741297417688,0.4136327379944745
af,a,f,0.523391099295361,0.3604673407356513
am,a,m,0.25718650061561055,0.567229480388271
wm,w,m,0.7076176483269195,0.716522442493478
af,a,f,0.662387869269278,0.4399051526974026
af,a,f,0.5395125967266861,0.39302506315597274
wf,w,f,0.30303252217323756,0.5534488392515801
am,a,m,0.44038452131679745,0.4616900542066507
am,a,m,0.20454448721114152,0.3849777551333709
bf,b,f,0.2233852134288593,0.2018471454278218
bm,b,m,0.3848319678971639,0.508407402475152
wf,w,f,0.12998638549022196,0.24801907253833178
bm,b,m,0.3458749525097469,0.43234492120631746
bm,b,m,0.25464248383795635,0.3430541834211485
bm,b,m,0.4199056185737253,0.5358447940675608
wm,w,m,0.5692989906858165,0.7676199206964962
af,a,f,0.1389362914740513,0.28609322131491627
af,a,f,0.7403671436003422,0.5686335323025905
wf,w,f,0.5629891762263068,0.730732264919277
am,a,m,0.2972312438354506,0.3156175362768597
wm,w,m,0.4286719107272109,0.533215016882061
wm,w,m,1.0,0.7458640035614241
am,a,m,0.24353878047207303,0.4361839732754684
af,a,f,0.42952921876868194,0.6977878713095085
af,a,f,0.5912877328303648,0.6062145456006974
bm,b,m,0.333755004057868,0.4362296848481116
wm,w,m,0.6684709700982557,0.7427398953949615
am,a,m,0.4582123054198387,0.824810322573866
af,a,f,0.5275442949997432,0.6531255892852694
wm,w,m,0.769688283130721,1.0
am,a,m,0.6190100485080302,0.6708501251446861
wf,w,f,0.45161070630948946,0.4100438814736652
wf,w,f,0.36281639001157384,0.5374678387574392
wm,w,m,0.40294441045469515,0.6664011065711074
wm,w,m,0.5201612621689499,0.787347394947276
bf,b,f,0.46565583454198217,0.4540667119346454
wf,w,f,0.5298608598191513,0.6189974365124283
bf,b,f,0.0541649865963322,0.1547944952397188
wm,w,m,0.4900933736132403,0.7887930677662107
bf,b,f,0.34911220354652234,0.34685068864526786
af,a,f,0.019972027407544585,0.032172579308780674
wf,w,f,0.35083793377803374,0.49708690938978034
am,a,m,0.3827599631407151,0.5024222707631573
am,a,m,0.3169837368600344,0.5978597710905289
af,a,f,0.46084088002514906,0.09617874489791362
bm,b,m,0.2512480630068064,0.24313031330010143
bm,b,m,0.4198113220758449,0.5439532491520301
wf,w,f,0.607206974812357,0.6823088421527306
bf,b,f,0.2248960408711362,0.18184269003776216
am,a,m,0.35194949705120215,0.7727981126244223
wm,w,m,0.4054513842696594,0.7755526355230199
wf,w,f,0.2689013833669864,0.4431897971469036
af,a,f,0.2033677239617788,0.30334617908666806
wf,w,f,0.5954980155748557,0.7379591477120969
wm,w,m,0.5064629365352139,0.8536863998530846
af,a,f,0.3735225364250122,0.5138967627441837
wm,w,m,0.6437053244814254,0.962609325966616
af,a,f,0.6237878599554082,0.5226391341360159
wm,w,m,0.19259762148397397,0.5810926184252638
wm,w,m,0.763159778296833,0.5756849695772694
af,a,f,0.6166918581863347,0.5108939810168538
bf,b,f,0.20886220348691464,0.3413483359850294
af,a,f,0.357279851619623,0.27983681359171125
af,a,f,0.6737872080810752,0.47250981995828434
am,a,m,0.4823704507370722,0.4070239894775285
wf,w,f,0.7220088346996562,0.5361752676331886
bm,b,m,0.2593532375222092,0.4881234838352668
wf,w,f,0.3770924646633742,0.5026260909085235
wf,w,f,0.6387356374173844,0.7644671871500739
am,a,m,0.5816751621429058,0.8043202366014449
wf,w,f,0.2931462952181123,0.5034842896521263
wm,w,m,0.19855015394016756,0.6447101739135751
bf,b,f,0.14155241821902412,0.0
af,a,f,0.7130531406749686,0.5431257422891846
bm,b,m,0.42399076116059975,0.5638752382550225
bf,b,f,0.054130425660353365,0.2813613893529957
af,a,f,0.3224983306883959,0.12026608477869691
af,a,f,0.5813134655437331,0.5325497091273472
bm,b,m,0.2834521362785247,0.47771957409602983
wf,w,f,0.44024854309666156,0.6265103902859509
am,a,m,0.4093423819371627,0.5795293728787233
wf,w,f,0.13640382485869226,0.655073553264102
am,a,m,0.30163161449828446,0.4049512397875893
wm,w,m,0.876216530778994,0.759055214749451
wm,w,m,0.4669092242093722,0.6898577878229779
am,a,m,0.38477346199972495,0.37816630859291495
am,a,m,0.6595628434728931,0.761776947150392
af,a,f,0.5546566861686826,0.6947136328844445
wm,w,m,0.3827315208785176,0.6942350072042757
wm,w,m,0.5270684144757318,0.663340340411433
