G,R,X,Y,GR,UID
M,B,0.298285580226058,-0.12796829288105735,MB,1
M,W,0.3343080514794799,0.3619829938958289,MW,2
M,W,0.4079777142960653,0.353104759719401,MW,3
F,W,-0.08111816938219563,-0.14203302098164844,FW,4
F,W,-0.24258201286588654,-0.3195294349518125,FW,5
F,W,-0.5789015261542669,-0.6519576511355685,FW,6
M,W,0.23802026027415787,0.24410545205755196,MW,7
M,B,0.8677815611545489,0.7533265235739193,MB,8
M,W,-0.21054929296325675,-0.29732024153181447,MW,9
M,B,-0.05122576305737305,-0.10094765839298797,MB,10
M,B,1.2532244116321496,1.1355828952372933,MB,11
M,W,0.18710387785172616,0.09836943401833528,MW,12
M,W,0.6083354149461728,0.554715351374948,MW,13
M,W,0.24374001805983583,0.1215723037332266,MW,14
M,W,-0.9523119879673615,-0.7368841092594887,MW,15
M,W,0.32631593619140653,0.2961252664093788,MW,16
F,B,-0.2997350281460591,-0.5848823122454446,FB,17
M,W,-0.5946364883596854,-0.5798719205771372,MW,18
F,W,-1.7445520054754886,-1.2972033792845812,FW,19
F,B,-1.7548658796729328,-1.7749736469904542,FB,20
M,B,0.03387544906229848,-0.021494861297647813,MB,21
F,W,-0.7234525961796591,-0.8129680258892231,FW,22
M,W,0.503758031697417,0.24997744803425492,MW,23
M,W,-0.37053516784123947,-0.42922932687050724,MW,24
M,W,0.4114798144502477,0.2071084994699695,MW,25
M,W,1.0621842006842814,0.9795613499605521,MW,26
F,W,-0.07667318111398991,-0.2842625453992024,FW,27
F,W,0.05780994332077816,-0.04521830007947546,FW,28
M,W,-0.4072037568342669,-0.4181032883462139,MW,29
M,B,0.032605462431745676,-0.1396649957224645,MB,30
F,W,-2.1196111388838723,-1.8281785920471167,FW,31
F,B,-2.3726767358597978,-2.3720347823994885,FB,32
M,W,-1.0129808805208105,-0.7777643902104324,MW,33
F,W,-0.3055527334733651,-0.33395840848587216,FW,34
F,B,-0.6344120573682879,-0.7095923551869585,FB,35
M,W,-0.06557873341130127,-0.05988851363921678,MW,36
F,W,-2.1983010857131635,-2.1620496926012978,FW,37
M,W,0.10715993733137995,-0.09521078612876807,MW,38
M,W,-0.2978807810342785,-0.17611525563945646,MW,39
F,W,0.21683257774483566,-0.19551200592603094,FW,40
M,B,-0.4664869637315334,-0.45957103720402687,MB,41
M,W,0.26702731592536666,0.23375196193902045,MW,42
F,W,0.8711645934823311,0.8263117610142756,FW,43
F,W,-3.3909033501027532,-2.9044741937198784,FW,44
M,W,0.22165356299430314,0.029872707376183222,MW,45
M,B,0.1972701675637544,0.09343692471278356,MB,46
M,W,-0.37270058295022945,-0.3319954515422453,MW,47
M,W,1.4948210963290411,1.1778340863385417,MW,48
M,W,-0.6640610374982552,-0.5212256903786274,MW,49
M,W,0.17742769066527486,0.1050944880455717,MW,50
