a,x,y,rank,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50
1,1.0,1.0,1,2,1,4,2,1,5,3,3,4,1,2,3,2,2,2,3,1,3,1,2,1,1,4,2,1,1,3,1,2,1,1,1,4,2,1,2,2,1,1,2,2,3,1,3,1,1,2,2,1,1
1,0.34856043617400206,0.41940452186645083,5,6,6,2,5,5,3,4,5,5,6,4,8,5,7,7,5,5,5,5,8,4,6,5,6,8,5,6,5,5,5,5,7,5,5,5,5,5,5,3,7,4,5,5,5,7,5,4,6,5,4
1,0.8007159788398117,0.8526173904016195,3,3,3,3,3,4,2,5,4,2,2,5,1,4,3,3,4,4,4,2,3,3,2,1,4,3,4,4,2,4,2,4,3,3,3,3,4,4,2,5,3,5,2,4,2,3,6,3,3,2,2
1,0.7796788529051071,0.8151080988286645,4,1,4,5,4,3,4,1,2,1,3,1,4,3,4,4,1,2,1,3,4,5,4,3,3,4,3,2,4,3,3,3,2,1,4,4,3,1,3,4,4,3,1,3,4,4,3,5,4,4,5
0,0.0,0.0,10,10,10,10,10,10,7,9,10,9,10,10,10,10,9,10,10,10,9,9,10,9,9,10,7,10,9,10,9,10,8,9,8,10,10,10,9,10,9,10,10,9,9,10,10,9,10,9,10,9,10
0,0.5199249501615014,0.26012902093390394,7,7,8,8,7,7,6,6,6,6,5,9,5,9,5,6,6,6,8,7,9,8,8,8,5,7,6,8,7,7,9,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,4,8,5,8,9
0,0.4881011460366693,0.3838511703213881,6,5,5,7,6,6,8,7,8,7,8,6,7,6,6,5,7,7,7,8,6,6,5,6,8,6,7,7,6,6,6,8,5,8,8,8,8,8,7,8,5,7,6,9,9,8,8,6,9,6,6
1,0.9819211256108706,0.972261458916465,2,4,2,1,1,2,1,2,1,3,4,3,2,1,1,1,2,3,2,4,1,2,3,2,1,2,2,1,3,1,4,2,4,2,1,2,1,3,4,2,1,1,4,2,1,2,2,1,1,3,3
0,0.36144501431665643,0.14237759598980212,9,8,7,6,8,9,9,8,7,8,9,7,6,7,8,8,8,8,6,6,7,10,7,7,9,5,8,5,8,8,7,10,10,9,7,9,7,9,8,7,8,10,8,7,7,5,7,7,7,7,8
0,0.12834854217044647,0.16599468753677718,8,9,9,9,9,8,10,10,9,10,7,8,9,8,10,9,9,9,10,10,5,7,10,9,10,9,10,9,10,9,10,7,9,7,9,7,10,7,10,9,9,8,10,8,8,10,9,10,8,10,7
