a,x,y,rank,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50
1,0.5655404947140388,0.6793418065904269,5,7,5,7,3,7,5,5,7,5,7,5,6,6,7,6,7,5,7,4,6,6,7,6,6,7,5,7,6,7,5,5,6,4,7,4,4,5,6,5,6,6,6,6,4,7,6,1,5,3,6
1,0.5457340305784011,0.5980691135111335,7,6,2,6,7,6,6,6,5,6,6,6,5,5,6,4,3,4,5,5,7,5,4,4,4,6,7,5,7,6,7,4,4,7,6,5,7,7,7,7,7,7,4,5,7,5,7,5,7,6,5
0,0.15372836796877135,0.032889785954777935,9,10,8,8,10,9,9,9,9,8,9,8,9,8,10,10,8,8,9,9,8,8,8,8,8,9,8,10,10,8,9,10,10,8,9,8,9,9,10,10,8,10,9,8,8,8,8,8,8,8,10
1,0.7927715170575264,0.916287816013397,3,4,4,3,4,4,4,1,3,4,4,1,3,4,1,5,4,3,1,2,5,4,3,2,7,3,2,3,5,1,4,3,3,1,4,2,6,4,5,2,4,3,5,2,2,6,2,4,2,4,4
0,0.16611954819736213,0.09544460110751925,8,8,9,10,8,8,8,8,8,9,10,9,8,10,8,8,9,9,8,8,10,9,9,9,9,8,9,8,9,9,8,8,8,10,8,10,8,8,8,9,10,9,8,9,9,9,9,10,9,9,8
1,0.9901060144224288,0.946299905607128,2,2,3,2,1,2,3,4,1,1,2,3,2,1,3,2,1,1,3,3,1,1,1,3,1,2,1,2,1,2,2,2,2,3,1,1,1,1,2,4,1,2,1,1,5,2,1,3,1,2,1
1,0.5301326409018798,0.6095426495120253,6,5,7,5,6,5,7,7,6,3,5,7,7,7,5,7,6,7,6,6,4,7,5,7,3,4,4,6,4,5,6,7,7,5,5,7,5,6,4,6,3,4,7,7,6,4,5,7,6,7,7
0,0.0,0.0,10,9,10,9,9,10,10,10,10,10,8,10,10,9,9,9,10,10,10,10,9,10,10,10,10,10,10,9,8,10,10,9,9,9,10,9,10,10,9,8,9,8,10,10,10,10,10,9,10,10,9
1,0.732716877551142,0.8801089363318372,4,3,6,4,2,3,2,3,4,7,3,4,4,3,4,3,5,6,4,7,3,2,6,5,5,5,6,4,3,4,3,6,5,6,3,6,3,3,3,3,5,5,3,3,3,3,3,6,4,5,2
1,1.0,1.0,1,1,1,1,5,1,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,3,2,1,2,1,3,1,2,3,1,1,1,2,2,3,2,2,1,1,2,1,2,4,1,1,4,2,3,1,3
