a,x,y,rank,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50
1,0.9666361459332659,1.0,1,1,2,2,2,2,3,2,2,1,1,1,2,5,2,2,5,4,3,4,3,2,3,2,2,1,2,1,3,1,2,1,1,3,1,1,2,2,3,2,3,3,2,2,2,2,1,1,1,3,2
1,0.5678232659663446,0.8331038678288722,2,5,4,3,5,5,4,4,3,7,2,2,5,4,4,3,4,7,5,3,4,7,5,5,5,3,3,3,6,4,3,4,5,5,3,4,4,5,1,5,4,4,6,4,5,5,7,4,4,4,4
0,0.9568623328067432,0.6351191173807049,5,4,5,5,4,4,5,8,6,4,5,4,4,3,8,5,3,6,2,8,5,4,4,3,4,4,5,5,5,5,8,7,4,4,5,6,5,4,6,4,5,5,5,6,4,7,8,5,5,5,5
0,0.0,0.0,10,9,9,10,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,7,8,10,10,9,10,10,10,10,8,10,10,10,10,10,9,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10
0,0.7184889194819007,0.40340359618362037,6,6,8,6,8,9,6,5,7,6,6,6,7,6,7,8,6,3,6,5,8,6,8,7,6,6,6,9,4,6,7,5,6,6,6,8,6,8,5,6,6,7,8,5,8,6,6,7,7,7,7
0,0.6146972653337793,0.33130389411713634,8,7,7,9,7,7,8,6,5,5,7,8,6,7,5,6,7,8,8,6,6,5,7,8,7,8,7,6,8,7,5,8,8,9,8,3,8,6,9,8,8,6,4,7,7,4,5,8,8,6,8
1,1.0,0.787950057557097,3,2,1,1,1,1,1,1,1,2,3,3,3,2,3,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,3,3,2,2,1,1
1,0.7815209201109246,0.7836809913907695,4,3,3,4,3,3,2,3,4,3,4,7,1,1,1,4,2,2,4,2,2,3,1,4,3,5,4,4,1,3,4,3,3,1,4,5,3,3,4,3,2,2,3,3,3,1,2,3,3,2,3
0,0.5820436927178027,0.3838274943371894,7,8,6,7,6,8,7,7,8,8,8,5,9,8,6,7,8,5,7,7,10,9,6,6,8,7,8,7,7,10,6,6,7,7,7,7,10,7,8,7,7,9,9,8,6,8,4,6,6,8,6
0,0.23360724174807548,0.06383277000710379,9,10,10,8,9,6,10,9,9,9,10,9,8,9,9,9,9,9,9,9,9,10,9,9,10,9,9,8,9,9,9,9,9,8,9,10,7,9,7,9,10,8,7,9,9,9,9,9,9,9,9
